campaign_id,campaign_name,creator_id,creator_name,creator_specialty,campaign_date,category,impressions,likes,comments,shares,total_engagements,referral_id,traffic_source,click_timestamp,referral_clicks,customer_id,transaction_id,purchase_timestamp,purchases,new_customers,repeat_purchases,order_value,product,product_category
CAM047,Product Launch,CR003,Rohan Kapoor,Tech,2026-01-22,Fashion,8794,246,38,16,300,REF00001,Instagram,2026-01-22 12:00:00,197,CUST7532,TXN00001,2026-01-29 00:00:00,10,6,4,26848.47,Gaming Headset,Gaming
CAM048,Festive Picks,CR004,Isha Verma,Beauty,2026-04-15,Fashion,5365,259,37,21,317,REF00002,Instagram,2026-04-15 17:00:00,154,CUST9998,TXN00002,2026-04-20 00:00:00,14,12,2,53879.66,Wireless Earbuds,Electronics
CAM057,Festive Picks,CR005,Vihaan Patel,Fitness,2026-03-06,Fitness,9703,395,52,46,493,REF00003,Email,2026-03-06 01:00:00,282,CUST9624,TXN00003,2026-03-14 00:00:00,15,8,7,29096.6,Protein Powder,Fitness
CAM035,Mega Savings,CR003,Rohan Kapoor,Tech,2026-02-14,Fitness,7836,314,40,34,388,REF00004,TikTok,2026-02-14 10:00:00,235,CUST7039,TXN00004,2026-02-18 00:00:00,6,5,1,30059.67,Gaming Headset,Gaming
CAM052,Product Launch,CR010,Diya Joshi,Lifestyle,2026-01-12,,12660,275,31,18,324,REF00005,YouTube,2026-01-12 06:00:00,258,CUST5730,TXN00005,2026-01-15 00:00:00,18,17,1,66077.19,Coffee Maker,Home
CAM048,Premium Picks,CR012,Kavya Iyer,Fashion,2026-06-30,Travel,5657,183,26,14,223,REF00006,Instagram,2026-06-30 19:00:00,103,CUST3682,TXN00006,2026-07-07 00:00:00,5,5,0,16273.03,Wireless Earbuds,Electronics
CAM039,Mega Savings,CR008,Sara Khan,Food,2026-04-27,Food,11146,523,76,40,639,REF00007,Facebook,2026-04-27 22:00:00,349,CUST8225,TXN00007,2026-04-28 00:00:00,15,13,2,63009.59,Sneakers,Fashion
CAM026,Festive Picks,CR012,Kavya Iyer,Fashion,2026-03-30,Fashion,7630,219,28,17,264,REF00008,Instagram,2026-03-30 21:00:00,232,CUST4552,TXN00008,2026-04-06 00:00:00,14,14,0,41621.83,Protein Powder,Fitness
CAM057,Premium Picks,CR006,Meera Nair,Travel,2026-02-09,Travel,5126,213,28,20,261,REF00009,Google,2026-02-09 03:00:00,87,CUST1626,TXN00009,2026-02-18 00:00:00,2,2,0,4000.08,Skincare Kit,Beauty
CAM024,Product Launch,CR005,Vihaan Patel,Fitness,2026-01-22,Travel,4767,115,7,9,131,REF00010,YouTube,2026-01-22 09:00:00,123,CUST1400,TXN00010,2026-01-28 00:00:00,6,5,1,20805.26,Wireless Earbuds,Electronics
CAM030,Summer Launch,CR007,Kabir Singh,Gaming,2026-03-06,Food,8684,502,63,26,591,REF00011,Instagram,2026-03-06 06:00:00,253,CUST2802,TXN00011,2026-03-09 00:00:00,6,5,1,26504.46,Sneakers,Fashion
CAM012,Monsoon Sale,CR008,Sara Khan,Food,2026-02-16,Beauty,5475,168,14,13,195,REF00012,Instagram,2026-02-16 05:00:00,150,CUST3339,TXN00012,2026-02-19 00:00:00,14,14,0,71534.1,Smartwatch,Electronics
CAM020,New Collection,CR007,Kabir Singh,Gaming,2026-06-05,Electronics,4608,196,19,12,227,REF00013,Email,2026-06-05 02:00:00,117,CUST4774,TXN00013,2026-06-09 00:00:00,9,8,1,23796.87,Protein Powder,Fitness
CAM041,Mega Savings,CR012,Kavya Iyer,Fashion,2026-06-17,Food,5695,247,23,13,283,REF00014,Direct,2026-06-17 20:00:00,170,CUST7729,TXN00014,2026-06-20 00:00:00,10,9,1,22120.24,Coffee Maker,Home
CAM034,Mega Savings,CR008,Sara Khan,Food,2026-02-01,Gaming,7959,389,33,35,457,REF00015,TikTok,2026-02-01 14:00:00,216,CUST7814,TXN00015,2026-02-09 00:00:00,8,4,4,15840.77,Skincare Kit,Beauty
CAM031,Product Launch,CR009,Arjun Rao,Finance,2026-01-26,Home,9206,297,42,21,360,REF00016,Instagram,2026-01-26 12:00:00,272,CUST4561,TXN00016,2026-02-02 00:00:00,4,4,0,17185.9,Wireless Earbuds,Electronics
CAM051,Monsoon Sale,CR010,Diya Joshi,Lifestyle,2026-04-05,Travel,7722,415,40,26,481,REF00017,Facebook,2026-04-05 22:00:00,266,CUST5780,TXN00017,2026-04-13 00:00:00,8,6,2,36747.97,Gaming Headset,Gaming
CAM002,Holiday Offers,CR012,Kavya Iyer,Fashion,2026-01-02,Home,22633,781,121,69,971,REF00018,TikTok,2026-01-02 19:00:00,438,CUST8640,TXN00018,2026-01-09 00:00:00,8,5,3,22490.14,Travel Backpack,Travel
CAM027,Premium Picks,CR001,Aarav Mehta,Lifestyle,2026-04-29,Home,3988,169,14,20,203,REF00019,YouTube,2026-04-29 16:00:00,91,CUST7931,TXN00019,2026-05-01 00:00:00,4,4,0,17575.2,Smartwatch,Electronics
CAM006,New Collection,CR012,Kavya Iyer,Fashion,2026-03-14,Gaming,5824,142,16,6,164,REF00020,Facebook,2026-03-14 20:00:00,121,CUST3711,TXN00020,2026-03-18 00:00:00,5,5,0,10191.02,Protein Powder,Fitness
CAM060,Product Launch,CR002,Ananya Sharma,Fashion,2026-03-31,Gaming,20381,1159,96,150,1405,REF00021,TikTok,2026-03-31 07:00:00,763,CUST2638,TXN00021,2026-04-04 00:00:00,26,22,4,57031.56,Protein Powder,Fitness
CAM042,New Collection,CR012,Kavya Iyer,Fashion,2026-05-19,Fashion,3086,135,12,11,158,REF00022,Instagram,2026-05-19 22:00:00,70,CUST1990,TXN00022,2026-05-28 00:00:00,3,3,0,15938.46,Gaming Headset,Gaming
CAM040,Summer Launch,CR012,Kavya Iyer,Fashion,2026-05-29,Beauty,9213,484,71,47,602,REF00023,Instagram,2026-05-29 04:00:00,240,CUST2799,TXN00023,2026-06-03 00:00:00,13,12,1,37256.35,Travel Backpack,Travel
CAM057,Weekend Flash,CR012,Kavya Iyer,Fashion,2026-03-09,Beauty,6232,251,17,12,280,REF00024,Instagram,2026-03-09 10:00:00,118,CUST1399,TXN00024,2026-03-13 00:00:00,9,7,2,26102.89,Smartwatch,Electronics
CAM017,Festive Picks,CR012,Kavya Iyer,Fashion,2026-01-02,Fashion,10735,526,59,30,615,REF00025,Facebook,2026-01-02 18:00:00,219,CUST2956,TXN00025,2026-01-11 00:00:00,8,8,0,19916.34,Coffee Maker,Home
CAM007,Monsoon Sale,CR008,Sara Khan,Food,2026-02-15,Travel,9990,455,38,35,528,REF00026,YouTube,2026-02-15 19:00:00,194,CUST5978,TXN00026,2026-02-21 00:00:00,11,10,1,48164.14,Gaming Headset,Gaming
CAM022,New Collection,CR001,Aarav Mehta,Lifestyle,2026-03-17,Fitness,4143,226,29,26,281,REF00027,Instagram,2026-03-17 15:00:00,147,CUST9211,TXN00027,2026-03-19 00:00:00,10,8,2,40751.54,Smartwatch,Electronics
CAM025,Weekend Flash,CR006,Meera Nair,Travel,2026-01-07,Electronics,5949,218,18,17,253,REF00028,Instagram,2026-01-07 19:00:00,144,CUST6695,TXN00028,2026-01-08 00:00:00,6,5,1,29834.24,Gaming Headset,Gaming
CAM018,Festive Picks,CR005,Vihaan Patel,Fitness,2026-06-01,Fashion,7011,170,26,16,212,REF00029,Instagram,2026-06-01 21:00:00,165,CUST8203,TXN00029,2026-06-04 00:00:00,8,8,0,25486.88,Protein Powder,Fitness
CAM015,Holiday Offers,CR008,Sara Khan,Food,2026-06-12,Travel,6627,176,20,15,211,REF00030,TikTok,2026-06-12 21:00:00,121,CUST8045,TXN00030,2026-06-19 00:00:00,2,2,0,2564.52,Travel Backpack,Travel
CAM030,Premium Picks,CR003,Rohan Kapoor,Tech,2026-01-29,Travel,6477,338,39,21,398,REF00031,TikTok,2026-01-29 22:00:00,231,CUST2397,TXN00031,2026-02-02 00:00:00,12,11,1,73848.89,Smartwatch,Electronics
CAM042,Premium Picks,CR007,Kabir Singh,Gaming,2026-01-29,Gaming,6447,225,32,24,281,REF00032,YouTube,2026-01-29 17:00:00,187,CUST8192,TXN00032,2026-02-01 00:00:00,16,16,0,73225.71,Sneakers,Fashion
CAM058,Weekend Flash,CR007,Kabir Singh,Gaming,2026-05-31,Travel,7589,381,43,38,462,REF00033,Facebook,2026-05-31 18:00:00,230,CUST1906,TXN00033,2026-06-07 00:00:00,14,11,3,60370.31,Coffee Maker,Home
CAM029,Creator Spotlight,CR003,Rohan Kapoor,Tech,2026-02-01,Electronics,11670,562,64,51,677,REF00034,Facebook,2026-02-01 17:00:00,336,CUST3291,TXN00034,2026-02-06 00:00:00,12,8,4,55203.57,Smartwatch,Electronics
CAM059,Summer Launch,CR005,Vihaan Patel,Fitness,2026-01-31,Electronics,9247,385,56,46,487,REF00035,Facebook,2026-01-31 17:00:00,247,CUST5371,TXN00035,2026-02-08 00:00:00,4,4,0,7973.13,Wireless Earbuds,Electronics
CAM020,Spring Refresh,CR009,Arjun Rao,Finance,2026-06-19,Beauty,6885,308,37,30,375,REF00036,Instagram,2026-06-19 20:00:00,145,CUST3336,TXN00036,2026-06-27 00:00:00,4,4,0,10621.11,Protein Powder,Fitness
CAM040,Monsoon Sale,CR005,Vihaan Patel,Fitness,2026-03-01,Electronics,5351,288,27,30,345,REF00037,YouTube,2026-03-01 07:00:00,114,CUST1004,TXN00037,2026-03-06 00:00:00,3,2,1,7753.33,Smartwatch,Electronics
CAM001,Weekend Flash,CR010,Diya Joshi,Lifestyle,2026-06-01,Gaming,5268,274,21,26,321,REF00038,Instagram,2026-06-01 02:00:00,175,CUST3333,TXN00038,2026-06-04 00:00:00,12,11,1,32523.47,Travel Backpack,Travel
CAM040,Holiday Offers,CR004,Isha Verma,Beauty,2026-06-09,Home,15608,381,53,50,484,REF00039,Facebook,2026-06-09 15:00:00,366,CUST1225,TXN00039,2026-06-11 00:00:00,23,22,1,113528.07,Smartwatch,Electronics
CAM047,New Collection,CR009,Arjun Rao,Finance,2026-04-28,Beauty,6742,354,29,33,416,REF00040,Google,2026-04-28 19:00:00,242,CUST8452,TXN00040,2026-04-29 00:00:00,20,19,1,72246.63,Wireless Earbuds,Electronics
CAM059,Spring Refresh,CR008,Sara Khan,Food,2026-03-13,Fitness,11526,412,46,32,490,REF00041,Email,2026-03-13 18:00:00,313,CUST3843,TXN00041,2026-03-19 00:00:00,10,9,1,29077.96,Travel Backpack,Travel
CAM048,Mega Savings,CR006,Meera Nair,Travel,2026-01-30,Home,12046,568,44,63,675,REF00042,Facebook,2026-01-30 05:00:00,292,CUST2327,TXN00042,2026-02-05 00:00:00,7,6,1,21902.49,Coffee Maker,Home
CAM057,Monsoon Sale,CR010,Diya Joshi,Lifestyle,2026-02-15,Food,9067,363,38,49,450,REF00043,Facebook,2026-02-15 20:00:00,146,CUST7277,TXN00043,2026-02-22 00:00:00,5,4,1,10205.23,Protein Powder,Fitness
CAM037,Festive Picks,CR009,Arjun Rao,Finance,2026-06-27,Home,11675,685,46,80,811,REF00044,TikTok,2026-06-27 18:00:00,464,CUST3291,TXN00044,2026-07-02 00:00:00,17,13,4,72924.25,Wireless Earbuds,Electronics
CAM043,Premium Picks,CR003,Rohan Kapoor,Tech,2026-06-29,Electronics,4960,230,33,16,279,REF00045,Instagram,2026-06-29 03:00:00,128,CUST8377,TXN00045,2026-07-02 00:00:00,6,6,0,8745.36,Travel Backpack,Travel
CAM052,Premium Picks,CR009,Arjun Rao,Finance,2026-02-21,Fashion,2970,166,21,12,199,REF00046,TikTok,2026-02-21 16:00:00,86,CUST2556,TXN00046,2026-03-02 00:00:00,4,4,0,10908.73,Wireless Earbuds,Electronics
CAM050,Summer Launch,CR003,Rohan Kapoor,Tech,2026-04-08,Electronics,4385,171,24,18,213,REF00047,Email,2026-04-08 18:00:00,111,CUST7226,TXN00047,2026-04-09 00:00:00,8,8,0,39165.15,Smartwatch,Electronics
CAM011,Premium Picks,CR008,Sara Khan,Food,2026-05-29,Electronics,6460,291,38,34,363,REF00048,Facebook,2026-05-29 19:00:00,151,CUST5172,TXN00048,2026-06-02 00:00:00,11,10,1,28823.28,Smartwatch,Electronics
CAM031,Premium Picks,CR007,Kabir Singh,Gaming,2026-01-13,Fashion,4214,231,20,23,274,REF00049,Instagram,2026-01-13 20:00:00,142,CUST3976,TXN00049,2026-01-21 00:00:00,7,5,2,29254.49,,Electronics
CAM058,Premium Picks,CR005,Vihaan Patel,Fitness,2026-04-24,Fitness,4978,223,25,24,272,REF00050,Instagram,2026-04-24 23:00:00,147,CUST7389,TXN00050,2026-05-02 00:00:00,5,5,0,21174.27,Coffee Maker,Home
CAM057,Festive Picks,CR002,Ananya Sharma,Fashion,2026-04-05,Fitness,7225,322,32,29,383,REF00051,TikTok,2026-04-05 17:00:00,254,CUST1097,TXN00051,2026-04-10 00:00:00,19,17,2,77873.32,Sneakers,Fashion
CAM055,New Collection,CR012,Kavya Iyer,Fashion,2026-05-22,Home,5955,315,43,41,399,REF00052,YouTube,2026-05-22 07:00:00,185,CUST6425,TXN00052,2026-05-25 00:00:00,10,9,1,24811.36,Coffee Maker,Home
CAM053,Creator Spotlight,CR004,Isha Verma,Beauty,2026-04-01,Home,3162,100,15,8,123,REF00053,Email,2026-04-01 10:00:00,83,CUST1364,TXN00053,2026-04-06 00:00:00,2,2,0,1553.22,Skincare Kit,Beauty
CAM053,Weekend Flash,CR003,Rohan Kapoor,Tech,2026-04-11,Fashion,5373,201,31,20,252,REF00054,Instagram,2026-04-11 23:00:00,163,CUST8162,TXN00054,2026-04-17 00:00:00,14,12,2,53447.57,Smartwatch,Electronics
CAM029,Creator Spotlight,CR010,Diya Joshi,Lifestyle,2026-06-17,Food,9889,355,35,40,430,REF00055,Google,2026-06-17 01:00:00,327,CUST5778,TXN00055,2026-06-21 00:00:00,17,14,3,42821.34,Travel Backpack,Travel
CAM055,Festive Picks,CR009,Arjun Rao,Finance,2026-01-02,Gaming,4817,209,26,14,249,REF00056,Direct,2026-01-02 02:00:00,131,CUST9497,TXN00056,2026-01-04 00:00:00,6,5,1,15343.0,Sneakers,Fashion
CAM033,Creator Spotlight,CR011,Aditya Deshmukh,Tech,2026-05-28,Electronics,5859,323,37,22,382,REF00057,Email,2026-05-28 19:00:00,218,CUST3483,TXN00057,2026-06-02 00:00:00,17,13,4,45306.62,Smartwatch,Electronics
CAM037,Monsoon Sale,CR005,Vihaan Patel,Fitness,2026-06-16,Gaming,6713,253,32,13,298,REF00058,Instagram,2026-06-16 21:00:00,53,CUST7921,TXN00058,2026-06-22 00:00:00,2,2,0,5478.01,Travel Backpack,Travel
