campaign_id,creator_id,creator_name,campaign_date,impressions,likes,comments,shares,referral_id,traffic_source,click_timestamp,customer_id,transaction_id,purchase_timestamp,order_value
CAMP-001,CR-001,Ava Brooks,2026-01-15,1200,180,40,20,REF-001,Instagram,2026-01-16 09:00:00,CUST-100,TXN-100,2026-01-17 10:30:00,84.50
CAMP-001,CR-001,Ava Brooks,2026-01-15,1200,180,40,20,REF-002,Instagram,2026-01-16 09:10:00,CUST-101,TXN-101,2026-01-17 11:45:00,96.20
CAMP-002,CR-002,Noah Lee,2026-01-20,980,120,21,12,REF-010,TikTok,2026-01-21 08:00:00,CUST-200,TXN-200,2026-01-22 09:25:00,58.00
CAMP-002,CR-002,Noah Lee,2026-01-20,980,120,21,12,REF-011,TikTok,2026-01-21 08:45:00,CUST-201,TXN-201,2026-01-22 10:10:00,62.75
CAMP-003,CR-003,Mila Chen,2026-02-01,2200,320,70,38,REF-020,YouTube,2026-02-02 11:00:00,CUST-300,TXN-300,2026-02-04 12:15:00,142.90
CAMP-003,CR-003,Mila Chen,2026-02-01,2200,320,70,38,REF-021,YouTube,2026-02-02 12:20:00,CUST-301,TXN-301,2026-02-04 13:20:00,150.35
CAMP-004,CR-001,Ava Brooks,2026-02-10,1500,230,52,27,REF-030,Instagram,2026-02-11 09:30:00,CUST-400,TXN-400,2026-02-13 10:10:00,88.95
CAMP-004,CR-001,Ava Brooks,2026-02-10,1500,230,52,27,REF-031,Instagram,2026-02-11 09:35:00,CUST-401,TXN-401,2026-02-13 09:55:00,91.40
CAMP-005,CR-004,Leo Grant,2026-02-18,3200,410,96,42,REF-040,Facebook,2026-02-19 10:15:00,CUST-500,TXN-500,2026-02-20 17:05:00,120.25
CAMP-005,CR-004,Leo Grant,2026-02-18,3200,410,96,42,REF-041,Facebook,2026-02-19 10:50:00,CUST-501,TXN-501,2026-02-20 18:10:00,128.75
